Function,RT,Violations,Cores
f1,2662.8,0,754.2
f2,273.1,0,1984.3
f15,58.2,0,2181.1
f16,220.7,0,899.4
f17,199.9,0,9702.1
f3,591.2,442,1990.8
f8,234.5,0,1597.6
f10,86.3,0,3640.1
f9,312.1,557,8120.8
f18,271.4,599,8911.6
f20,211.6,734,9786.7
f4,737.0,0,863.5
f12,115.6,0,3410.7
f11,35.0,0,2529.0
f5,474.3,155,1251.7
f13,424.0,538,3871.0
f21,126.7,0,1376.8
f23,97.9,0,4107.2
f22,331.9,744,1486.4
f24,300.3,844,9806.1
f25,63.3,0,2719.2
f6,644.8,0,1223.8
f14,172.0,0,4609.3
f19,103.6,0,6627.6
f7,190.8,0,563.0
