Function,RT,Violations,Cores
f1,2205.0,0,7652.8
f2,231.2,0,3695.4
f15,58.3,0,2175.3
f16,201.0,0,9257.3
f17,199.6,0,9698.0
f3,518.0,53,9583.7
f8,206.2,0,7556.1
f10,86.5,0,3635.5
f9,303.1,552,9640.5
f18,267.6,599,9707.5
f20,211.3,725,9785.2
f4,634.9,0,9081.7
f12,114.8,0,3457.1
f11,35.1,0,2532.1
f5,350.5,0,7863.5
f13,343.4,46,9453.0
f21,124.9,0,1562.7
f23,98.1,0,4097.8
f22,304.6,622,9732.0
f24,300.4,849,9806.4
f25,63.4,0,2719.7
f6,521.1,0,7596.4
f14,170.9,0,4698.8
f19,103.7,0,6617.8
f7,178.8,0,1625.4
