Function,RT,Violations,Cores
f1,1988.5,0,753.9
f2,272.6,0,1986.5
f15,58.2,0,2179.6
f16,220.3,0,900.3
f17,199.5,0,9701.8
f3,439.0,0,1988.2
f8,234.1,0,1597.2
f10,86.3,0,3641.2
f9,160.3,0,2344.6
f18,128.3,0,2910.7
f20,87.4,0,5711.8
f4,584.7,0,861.7
f12,115.6,0,3414.2
f11,35.0,0,2532.8
f5,285.4,0,1251.7
f13,235.1,0,3875.3
f21,126.7,0,1376.1
f23,97.9,0,4101.2
f22,141.9,0,1487.7
f24,110.2,0,6994.6
f25,63.3,0,2720.4
f6,456.0,0,1223.6
f14,172.0,0,4610.6
f19,103.6,0,6625.9
f7,195.0,0,512.5
