Function,RT,Violations,Cores
f1,1732.4,0,6688.4
f2,231.2,0,3703.6
f15,58.3,0,2176.3
f16,201.0,0,9275.0
f17,199.7,0,9700.5
f3,373.5,0,8992.7
f8,206.2,0,7588.5
f10,86.5,0,3633.8
f9,158.0,0,2476.0
f18,127.0,0,3057.1
f20,87.5,0,5716.8
f4,491.0,0,7008.8
f12,114.8,0,3452.2
f11,35.1,0,2532.4
f5,268.0,0,1786.5
f13,227.5,0,4005.3
f21,124.9,0,1562.2
f23,98.1,0,4091.8
f22,136.9,0,1994.6
f24,110.4,0,6975.6
f25,63.4,0,2723.9
f6,414.7,0,3574.4
f14,170.9,0,4690.7
f19,103.8,0,6615.4
f7,178.9,0,1624.1
