Function;RT;Violations;Cores
f1;1732.4;0.0;6688.3
dev;0.4;0.0;0.9
f2;231.2;0.0;3708.2
dev;0.1;0.0;13.1
f3;373.5;0.0;8992.7
dev;0.1;0.0;3.2
f4;491.0;0.0;7010.2
dev;0.1;0.0;5.1
f5;268.0;0.0;1788.5
dev;0.0;0.0;1.2
f6;414.7;0.0;3575.6
dev;0.1;0.0;1.0
f7;178.9;0.0;1624.0
dev;0.0;0.0;1.6
f8;206.3;0.0;7602.2
dev;0.2;0.0;36.6
f9;157.9;0.0;2476.5
dev;0.0;0.0;1.0
f10;86.5;0.0;3634.6
dev;0.0;0.0;3.0
f11;35.1;0.0;2530.8
dev;0.0;0.0;1.8
f12;114.8;0.0;3453.6
dev;0.0;0.0;1.7
f13;227.5;0.0;4013.1
dev;0.0;0.0;4.5
f14;170.9;0.0;4693.1
dev;0.0;0.0;3.8
f15;58.3;0.0;2175.7
dev;0.0;0.0;1.4
f16;201.1;0.0;9276.8
dev;0.2;0.0;11.1
f17;199.8;0.0;9700.1
dev;0.2;0.0;0.8
f18;126.9;0.0;3057.3
dev;0.0;0.0;1.8
f19;103.8;0.0;6617.5
dev;0.0;0.0;4.2
f20;87.5;0.0;5706.1
dev;0.0;0.0;5.4
f21;124.9;0.0;1562.4
dev;0.0;0.0;1.0
f22;137.0;0.0;1996.2
dev;0.0;0.0;1.2
f23;98.1;0.0;4097.9
dev;0.0;0.0;4.7
f24;110.4;0.0;6979.3
dev;0.0;0.0;3.6
f25;63.4;0.0;2718.6
dev;0.0;0.0;2.5
dev;0.0;0.0;2.5
